"ID";"Statut";"Categorie";"Fonctionnalite";"Description courte";"Priorite";"Responsable";"Date cible";"Dependances";"Notes";"Publier_sur_site";"Filtre_Statut";"Filtre_Priorite";"Filtre_Categorie"
"1";"Developpe";"Admin";"admin-config";"Gestion modules/providers/mappings/settings extension";"Haute";"";"";"parametres admin";"Endpoint netlify";"TRUE";"1";"1";"Admin"
"2";"Developpe";"Administration";"Parametres ERP";"Configuration entreprise et parametres globaux";"Haute";"";"";"auth admin";"Route parametres";"TRUE";"1";"1";"Administration"
"3";"Developpe";"Administration";"Utilisateurs et droits";"Gestion comptes utilisateurs et permissions";"Haute";"";"";"auth";"Route utilisateurs";"TRUE";"1";"1";"Administration"
"4";"Developpe";"Client";"Clients";"Base clients et informations contractuelles";"Haute";"";"";"facturation";"Route clients";"TRUE";"1";"1";"Client"
"5";"Developpe";"Client";"Demandes clients";"Gestion des demandes entrantes transport";"Haute";"";"";"clients transports";"Route demandes-clients";"TRUE";"1";"1";"Client"
"6";"Developpe";"Communication";"chat";"Messaging exploitant/chauffeur dans canal dedie";"Haute";"";"";"auth tenant";"Endpoint netlify";"TRUE";"1";"1";"Communication"
"7";"Developpe";"Communication";"Tchat operationnel";"Messagerie instantanee operationnelle interne";"Haute";"";"";"communication";"Route tchat";"TRUE";"1";"1";"Communication"
"8";"Developpe";"Conformite";"Tachygraphe";"Suivi activite conduite et contraintes tachy";"Haute";"";"";"chauffeurs";"Route tachygraphe";"TRUE";"1";"1";"Conformite"
"9";"Developpe";"Documents";"Coffre documentaire";"Stockage et acces documents sensibles";"Haute";"";"";"auth role";"Route coffre";"TRUE";"1";"1";"Documents"
"10";"Developpe";"ETA";"eta";"Prediction ETA interne avec enrichissement API possible";"Haute";"";"";"routing tachy";"Endpoint netlify";"TRUE";"1";"1";"ETA"
"11";"Developpe";"Exploitation";"Transports / ordres de transport";"Creation, suivi et cloture des OT";"Haute";"";"";"clients chauffeurs vehicules";"Route transports";"TRUE";"1";"1";"Exploitation"
"12";"Developpe";"Finance";"Facturation";"Edition et suivi factures clients";"Haute";"";"";"clients transports";"Route facturation";"TRUE";"1";"1";"Finance"
"13";"Developpe";"Flotte";"Maintenance";"Planification et suivi maintenance flotte";"Haute";"";"";"vehicules remorques";"Route maintenance";"TRUE";"1";"1";"Flotte"
"14";"Developpe";"Flotte";"Vehicules";"Gestion parc vehicules et disponibilites";"Haute";"";"";"maintenance";"Route vehicules";"TRUE";"1";"1";"Flotte"
"15";"Developpe";"Pilotage";"Dashboard KPI temps reel";"Vue consolidee activite transport et indicateurs clefs";"Haute";"";"";"auth role";"Module principal";"TRUE";"1";"1";"Pilotage"
